a,47.41,166.28,171.71,176.3,166.21
b,94.52,12.96,6.01,1.9,10.3
c,9.82,75.06,77.68,65.42,40.63
d,26.47,1.34,136.29,138.35,121.37
e,104.62,163.54,168.59,168.9,165.14
f,46.7,163.12,4.14,8.99,12.46
g,36.49,45.03,175.94,173.5,170.61
h,91.19,32.75,17.21,153.21,159.24
i,47.85,166.7,167.55,168.2,2.42
j,49.19,164.22,164.69,162.56,1.47
k,64.45,2.31,35.36,159.51,167.57
l,19.54,12.77,167.96,170.11,174.0
m,67.99,169.31,170.86,175.25,174.97
n,78.35,175.87,174.42,175.4,177.32
o,16.16,119.9,124.18,119.99,107.34
p,68.6,13.61,22.12,170.69,175.7
q,3.98,29.31,166.12,175.73,175.26
r,47.86,14.47,7.64,171.9,178.01
s,73.31,167.53,172.75,175.66,171.26
t,32.04,165.13,170.49,176.43,171.41
u,63.68,9.72,1.98,168.08,173.27
v,56.58,2.99,9.63,169.31,174.96
w,66.71,4.98,0.62,12.77,179.0
x,67.46,177.05,166.68,165.38,174.38
y,9.47,171.43,171.06,170.9,1.72
z,89.63,35.14,158.8,148.95,149.04
